,0
156,"[19, 171, 969, 3876, 11628, 27132, 50388]"
157,22.353760242462158
158,"[12, 370, 4293, 27738, 120533, 388242, 978972]"
159,351.75105237960815
160,"[16, 408, 4659, 32112, 154234, 562229, 1617261]"
161,438.1251049041748
162,"[13, 378, 4284, 28149, 115911, 389562, 1020441]"
163,255.2437834739685
164,"[12, 347, 4169, 28114, 119558, 382996, 932659]"
165,576.7973084449768
166,"[15, 345, 3219, 17707, 66043, 192559, 443176]"
167,344.6552472114563
168,"[3, 121, 1768, 13542, 64098, 218548, 565442]"
169,506.1491460800171
170,"[3, 137, 2361, 21492, 117989, 469092, 1366151]"
171,785.1591613292694
172,"[17, 136, 680, 2380, 6188, 12376, 19448]"
173,7.391036510467529
174,"[13, 378, 4284, 28149, 115911, 389562, 1020441]"
175,255.32797527313232
176,"[13, 383, 4640, 33907, 156453, 612021, 1872637]"
177,676.9977810382843
178,"[5, 208, 3346, 28173, 145023, 537993, 1497741]"
179,1087.8871631622314
180,"[3, 134, 2236, 18531, 89914, 320261, 862009]"
181,657.0831081867218
182,"[23, 333, 2573, 13834, 55670, 174762, 439926]"
183,300.77065896987915
184,"[13, 333, 3316, 19796, 82749, 264723, 674960]"
185,598.8351802825928
186,"[17, 326, 2608, 13487, 50622, 149688, 353690]"
187,262.08709716796875
188,"[3, 134, 2285, 19765, 99808, 363457, 986813]"
189,804.9389543533325
190,"[17, 360, 3105, 16430, 61836, 180855, 420799]"
191,300.74020504951477
192,"[13, 378, 4284, 28149, 115911, 389562, 1020441]"
193,252.6722822189331
194,"[18, 402, 4028, 24899, 100835, 339157, 899032]"
195,474.3103594779968
196,"[8, 239, 2839, 19080, 85674, 284447, 732356]"
197,553.1971130371094
198,"[3, 135, 2398, 22414, 125935, 513113, 1528084]"
199,908.5534298419952
200,"[3, 137, 2357, 21504, 118274, 466601, 1342214]"
201,885.73850274086
202,"[13, 372, 4025, 25084, 107135, 345819, 880125]"
203,289.9235792160034
204,"[23, 333, 2573, 13834, 55670, 174762, 439926]"
205,302.3135094642639
206,"[19, 373, 3312, 19274, 82245, 274335, 738400]"
207,263.477826833725
208,"[13, 384, 4524, 30827, 142737, 495469, 1348173]"
209,971.6531612873077
